Turn	Rank_First	Rank_Second	Rank_Third
Ses02F_impro07_M009	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses01F_script01_1_F038	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script01_3_F010	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script03_2_F014	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script03_2_F003	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses04M_script03_2_M016	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses03F_script02_1_M012	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro04_F001	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script03_1_F014	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro04_F009	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script01_1_M011	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01M_impro07_F013	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_impro02_M012	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script01_3_M015	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses04F_script02_1_M034	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02F_script03_1_M019	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03F_impro04_F015	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script03_1_M007	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses04M_impro08_M019	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses01M_script02_1_M038	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script03_2_M034	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro04_M015	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script02_2_M043	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro02_F004	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01M_script03_2_F013	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_script03_2_M012	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro07_M015	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script03_1_F017	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_script02_1_M019	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses01M_script02_1_F008	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_impro08_M001	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses04F_impro07_M066	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script03_2_M038	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro01_F012	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01F_script01_3_M002	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script01_3_M026	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script01_2_F019	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script02_1_M012	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05F_impro05_F040	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_impro01_M005	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_script02_2_M022	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_script03_2_M050	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses02F_impro06_M018	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05M_script03_2_F024	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses01M_impro06_F024	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses05F_impro03_F018	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05M_impro01_M022	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01M_script01_1_M013	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script01_3_F024	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script01_2_M011	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses01F_script01_1_M008	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05F_impro05_F030	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro08_F008	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro02_F030	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses04F_script03_2_M029	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02F_script03_2_M044	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_script01_3_M005	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses01F_script01_2_M007	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script02_2_F003	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_script03_2_F035	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses04M_script01_3_M035	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script01_1_M042	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses04F_impro02_M011	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses02F_script03_2_M043	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_script03_1_M026	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05F_script01_3_F026	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_impro04_M016	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script03_2_M025	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses01M_script02_1_M012	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script01_1_M000	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses04F_script03_2_F010	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_impro06_M006	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_impro03_M022	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01F_impro01_M010	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05F_script03_2_F011	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_impro05_M000	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script01_3_M038	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses04M_script01_1_F033	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses02F_script02_2_M029	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03M_impro05b_M033	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses04F_impro04_F022	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses03F_impro06_F033	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses03M_impro03_M002	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses04F_script01_3_M030	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro04_M031	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script01_2_M004	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05M_script02_2_M037	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_impro08_M009	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script03_1_F026	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script01_3_F017	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script02_1_M040	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro04_F033	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script01_1_M045	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_impro03_M030	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_script01_3_M023	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses01F_script03_1_M031	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script02_1_M009	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_impro08b_F006	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03F_impro06_F030	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro02_M036	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_impro04_F001	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05F_script03_2_M010	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses01F_script02_2_M029	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05M_script01_1b_F017	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_script03_1_F000	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses05F_script03_2_F006	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01M_impro01_F020	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script01_1_F013	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script01_3_M000	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses01F_script02_2_F033	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01F_script02_2_M041	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_impro03_F016	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_impro01_F006	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script03_2_M023	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses05F_script03_2_M028	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script01_1_M012	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script01_1b_M036	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses02M_script01_1_M014	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro03_M059	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses01M_impro07_F012	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses04M_impro01_M007	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_impro04_F025	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03F_impro07_M025	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script02_2_F043	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_script03_1_M009	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script02_1_M027	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01F_script02_2_F010	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script02_2_M018	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05M_impro02_F000	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses04M_script03_2_M044	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_script03_2_M015	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses03F_impro05_M012	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script01_1_F015	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_script02_2_F019	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses01F_script02_1_M026	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses03M_script02_2_M014	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses02M_impro05_F023	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses01F_script02_2_M001	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script01_1_M002	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses01F_script03_2_M034	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script03_2_F020	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script02_2_F008	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro04_F006	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro05_M026	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses04F_script03_2_M032	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro03_F012	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses04F_impro06_F009	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_impro03_M006	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses05F_script02_1_M007	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02F_impro04_F011	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro08_F007	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_impro02_F006	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05M_script02_1_F019	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03M_impro01_F009	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_script02_2_F026	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script01_3_M029	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro03_M015	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script02_2_F026	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script01_2_F012	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script01_1_F029	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_impro06_F015	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses02M_impro07_M009	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses02F_script03_1_F003	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_script02_1_M021	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_script03_1_M032	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03M_script03_2_M030	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses01M_script02_2_F047	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script02_2_M024	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses03F_script01_3_M040	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_impro04_F017	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01M_script01_3_M012	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_impro05a_F021	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script01_3_M003	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script01_1_F039	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_script02_2_F028	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01F_script01_1_F005	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro06_F007	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro02_F003	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses01F_impro06_F027	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_impro05b_F020	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses03F_impro07_F022	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses03M_script01_3_M025	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_script02_1_M013	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_impro01_F029	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script01_3_M023	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro06_M019	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro08_F025	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro02_M005	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses05F_impro07_F021	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05F_impro08_F004	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script01_2_M010	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro05_F020	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro06_M018	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script01_1_M045	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses01M_script01_2_F009	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_impro01_F000	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_script01_1_F016	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03F_impro08_F000	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses02M_script01_3_M013	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses02F_impro07_M015	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro01_M002	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro07_F019	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses03F_script01_1_F015	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script02_2_F000	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script01_2_F018	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro08_M018	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_impro05_M011	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01M_impro04_M025	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script03_2_M033	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro07_M013	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses03F_impro03_F009	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05F_impro07_F034	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses05F_script01_2_F008	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro04_M003	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro08_F020	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script02_1_M017	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses01M_script03_1_M018	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses02M_script03_2_M034	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script02_1_M034	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses02M_script01_1_F039	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses03F_impro06_M012	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses03M_impro01_M015	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses04F_script02_2_M037	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses01M_impro06_F005	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses03M_script02_1_M023	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses01F_script01_2_M013	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script03_2_F024	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_impro03_F026	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses04F_impro07_F055	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses02F_impro04_F007	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_script01_2_F004	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses02F_script02_1_F007	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05F_script03_1_F027	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script03_1_F018	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses05M_impro07_M005	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02M_impro04_M006	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses05F_impro02_F022	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_impro04_M021	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script03_1_M035	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05M_impro07_F024	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro07_F026	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script01_2_M013	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_impro08_M025	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_script01_1_M023	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_script02_1_M020	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro04_F022	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script03_2_F041	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses04F_impro04_M025	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05M_script03_2_F035	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script01_3_F017	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01M_script01_3_M037	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script02_2_M000	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses02F_impro01_F001	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_script03_2_F038	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02F_script01_2_F018	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03F_script01_1_F040	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses04F_impro04_M028	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses02M_impro02_F008	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_impro03_M015	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script03_2_M038	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01M_script03_2_M011	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses04F_impro04_F013	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_script01_3_M013	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses04M_impro02_M019	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses04M_impro06_M016	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_impro06_F003	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses03F_impro07_F025	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses05F_script01_3_M010	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses02M_impro04_F001	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses04M_script03_2_F017	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script01_3_M027	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_impro01_F023	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script02_1_M020	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses01F_impro01_M011	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05M_script03_1_M005	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro02_M015	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script01_1_F050	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses05F_impro06_F005	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses02M_script02_2_F001	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02M_impro03_M023	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses01F_impro07_F009	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses02F_script01_3_M006	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script01_3_F013	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script03_1_M001	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses04M_script01_2_M005	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses03F_script01_1_F045	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses03M_script01_1_M023	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_script02_2_F027	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_impro08_F016	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script01_3_F010	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro02_F013	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro06_F004	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses02M_script01_1_F013	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses02M_impro07_M008	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script02_2_F001	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script03_2_F020	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro04_F008	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses04F_impro05_F003	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script01_1_F037	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro01_M015	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses05F_impro04_F024	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_impro04_M011	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script01_2_M007	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro03_F040	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_impro02_M015	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro08_F022	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script03_2_F011	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses02F_impro04_M000	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script01_1_M019	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script02_2_M014	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses04M_impro08_F022	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_script02_2_M003	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses02M_impro01_F023	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script01_1_M018	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script01_1_F002	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro01_F017	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script01_1_M041	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_impro04_F023	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script01_1_M024	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro08_M029	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
