Dia	Utt	Rank_First	Rank_Second	Rank_Third
1203	1	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1203	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1203	5	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1203	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1203	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1203	9	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1203	10	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1203	11	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1204	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1204	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1204	4	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1204	5	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1204	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1204	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1205	0	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
1205	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1205	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1205	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1205	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1205	10	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
1207	0	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1207	1	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1207	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1208	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1208	1	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
1208	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1208	4	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1208	5	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1208	6	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
1209	3	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1209	5	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1209	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1209	9	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1209	10	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
1211	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1211	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1211	2	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1211	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1211	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1211	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1211	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1212	1	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1212	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1212	4	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
1212	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1213	0	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
1213	1	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
1213	2	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
1213	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1214	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1214	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1214	3	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1214	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1214	8	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
1215	0	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
1215	1	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1215	2	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
1215	9	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1215	10	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1215	11	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1215	12	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1215	13	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1216	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1216	1	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
1216	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1216	3	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
1216	4	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
1216	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1216	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1216	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1217	0	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
1217	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1217	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1217	3	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1217	4	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
1217	5	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
1217	8	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
1217	9	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1218	0	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
1218	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1218	2	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1218	4	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
1218	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1218	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1218	10	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1218	11	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
1218	12	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1220	2	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
1220	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1220	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1220	7	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1220	10	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1220	13	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
1220	14	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1220	15	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1220	17	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1221	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1221	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1221	2	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1221	3	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1221	4	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1221	5	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
1221	7	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1221	9	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1221	12	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1221	15	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
1221	16	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1223	0	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
1223	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1223	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1223	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1223	8	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1223	11	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1223	12	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1226	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1226	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1226	5	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
1226	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1226	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1228	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1228	5	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1228	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1228	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1228	11	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
1230	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1230	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1230	3	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1230	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1230	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1230	8	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
1230	9	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1231	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1231	1	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1231	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1231	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1232	2	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1232	3	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
1232	7	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
1232	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1232	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1232	11	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1232	13	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1234	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1234	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1234	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1234	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1234	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1234	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1234	6	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
1234	8	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
1234	9	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1235	0	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
1235	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1235	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1235	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1235	9	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1235	10	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1236	0	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
1236	1	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1236	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1236	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1236	10	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
1236	11	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1236	14	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1236	16	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1236	20	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1236	21	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1236	24	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1236	27	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1236	28	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1236	29	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1236	30	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1238	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1238	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1238	3	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1238	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1238	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1238	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1238	9	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1238	12	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1240	0	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1240	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1240	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1240	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1242	0	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
1242	1	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1242	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1242	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1242	10	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1242	11	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1243	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1244	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1244	1	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1244	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1244	6	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1244	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1245	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1245	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1245	4	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
1245	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1245	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1245	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1245	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1245	10	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
1246	0	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
1246	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1246	4	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
1246	5	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
1246	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1246	7	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
1246	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1246	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1247	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1247	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1247	3	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1247	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1247	6	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
1247	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1248	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1248	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1248	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1248	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1248	4	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1248	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1248	10	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1249	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1249	3	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1249	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1249	9	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1250	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1250	3	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
1250	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1250	8	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
1250	10	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1250	13	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1250	16	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1250	22	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1250	23	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
1250	25	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1250	28	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1250	29	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1251	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1251	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1252	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1252	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1252	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1252	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1252	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1252	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1252	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1252	10	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1252	11	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1252	13	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1252	14	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1252	15	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1253	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1253	3	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1253	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1253	7	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
1253	8	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1253	10	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1253	14	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1253	15	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
1253	20	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1253	25	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1254	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1254	2	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1254	4	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
1254	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1255	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1255	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1255	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1255	6	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1255	7	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
1255	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1255	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1256	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1256	1	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1256	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1256	4	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1256	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1256	7	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1256	8	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1256	10	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1256	12	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1256	13	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
1256	14	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1256	16	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1257	1	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1257	2	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1257	3	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1257	4	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
1257	6	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1257	7	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1257	8	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1257	9	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1257	10	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1257	11	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1257	13	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1257	14	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1258	1	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
1258	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1260	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1260	1	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1260	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1260	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1260	4	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
1260	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1260	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1260	9	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1260	10	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1260	13	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1260	15	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1260	18	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1261	0	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1261	1	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1261	4	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1261	5	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1261	8	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
1262	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1262	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1262	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1264	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1264	1	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
1264	4	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1264	8	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1264	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1265	4	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1265	6	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1265	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1265	8	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1266	1	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
1266	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1266	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1266	4	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1266	5	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1266	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1268	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1268	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1268	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1268	10	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1268	12	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
1269	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1269	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1269	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1269	9	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
1269	10	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1269	11	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1269	14	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1269	17	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1269	18	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1270	1	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1270	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1270	5	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1270	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1270	7	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1270	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1270	10	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1270	11	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1270	12	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1270	13	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1270	14	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
1270	15	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1271	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1271	1	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
1271	6	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
1271	8	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1273	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1273	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1273	8	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
1273	9	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1273	11	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
1274	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1274	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1274	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1274	5	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
1274	7	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1274	8	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
1274	9	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1274	11	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1275	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1275	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1275	7	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
1275	11	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1275	12	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1275	13	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1275	14	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1276	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1276	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1276	2	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
1276	3	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1276	4	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1276	5	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1276	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1276	7	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
1276	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1276	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
1276	10	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
1276	11	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
